file_path,class_name,method_name,http_method,endpoint_url,flat_permissions,inferred_page_slug,inferred_crud_action
SMBackend/src/main/java/com/School/School_management/Controller/NotificationController.java,NotificationController,markAllRead,PUT,/api/notifications/read-all,NOTIFICATION_VIEW_OWN|NOTIFICATION_VIEW_CHILD|*|/read-all,notifications,edit
SMBackend/src/main/java/com/School/School_management/Controller/NotificationController.java,NotificationController,markRead,PUT,/api/notifications/{id}/read,NOTIFICATION_VIEW_OWN|NOTIFICATION_VIEW_CHILD|*|/{id}/read,notifications,edit
SMBackend/src/main/java/com/School/School_management/Controller/NotificationController.java,NotificationController,my,GET,/api/notifications/my,NOTIFICATION_VIEW_OWN|NOTIFICATION_VIEW_CHILD|*|/my,notifications,view
SMBackend/src/main/java/com/School/School_management/Controller/OnlineExamController.java,OnlineExamController,delete,DELETE,/api/online-exams/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,online-exams,delete
SMBackend/src/main/java/com/School/School_management/Controller/OnlineExamController.java,OnlineExamController,update,PUT,/api/online-exams/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,online-exams,edit
SMBackend/src/main/java/com/School/School_management/Controller/OpeningHourController.java,OpeningHourController,deleteOpeningHour,DELETE,/api/opening-hours/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,opening-hours,delete
SMBackend/src/main/java/com/School/School_management/Controller/OpeningHourController.java,OpeningHourController,getOpeningHourById,GET,/api/opening-hours/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,opening-hours,view
SMBackend/src/main/java/com/School/School_management/Controller/OpeningHourController.java,OpeningHourController,toggleStatus,PATCH,/api/opening-hours/{id}/toggle-status,SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,opening-hours,edit
SMBackend/src/main/java/com/School/School_management/Controller/OpeningHourController.java,OpeningHourController,updateOpeningHour,PUT,/api/opening-hours/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,opening-hours,edit
SMBackend/src/main/java/com/School/School_management/Controller/ProductController.java,ProductController,delete,DELETE,/api/products/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,products,delete
SMBackend/src/main/java/com/School/School_management/Controller/ProductController.java,ProductController,getById,GET,/api/products/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,products,view
SMBackend/src/main/java/com/School/School_management/Controller/ProductController.java,ProductController,update,PUT,/api/products/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,products,edit
SMBackend/src/main/java/com/School/School_management/Controller/PurchaseController.java,PurchaseController,delete,DELETE,/api/purchases/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,purchases,delete
SMBackend/src/main/java/com/School/School_management/Controller/PurchaseController.java,PurchaseController,getById,GET,/api/purchases/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,purchases,view
SMBackend/src/main/java/com/School/School_management/Controller/PurchaseController.java,PurchaseController,update,PUT,/api/purchases/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,purchases,edit
SMBackend/src/main/java/com/School/School_management/Controller/RoomController.java,RoomController,delete,DELETE,/api/rooms/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,rooms,delete
SMBackend/src/main/java/com/School/School_management/Controller/RoomController.java,RoomController,getById,GET,/api/rooms/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,rooms,view
SMBackend/src/main/java/com/School/School_management/Controller/RoomController.java,RoomController,update,PUT,/api/rooms/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,rooms,edit
SMBackend/src/main/java/com/School/School_management/Controller/SalaryGradeController.java,SalaryGradeController,delete,DELETE,/api/salary-grades/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,salary-grade,delete
SMBackend/src/main/java/com/School/School_management/Controller/SalaryGradeController.java,SalaryGradeController,update,PUT,/api/salary-grades/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,salary-grade,edit
SMBackend/src/main/java/com/School/School_management/Controller/SalaryPaymentController.java,SalaryPaymentController,delete,DELETE,/api/salary-payments/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,salary-payment,delete
SMBackend/src/main/java/com/School/School_management/Controller/SalaryPaymentController.java,SalaryPaymentController,update,PUT,/api/salary-payments/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,salary-payment,edit
SMBackend/src/main/java/com/School/School_management/Controller/SaleController.java,SaleController,delete,DELETE,/api/sales/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,sales,delete
SMBackend/src/main/java/com/School/School_management/Controller/SaleController.java,SaleController,getById,GET,/api/sales/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,sales,view
SMBackend/src/main/java/com/School/School_management/Controller/SaleController.java,SaleController,update,PUT,/api/sales/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,sales,edit
SMBackend/src/main/java/com/School/School_management/Controller/ScholarshipController.java,ScholarshipController,delete,DELETE,/api/scholarships/{id},SCHOLARSHIP|*,scholarship,delete
SMBackend/src/main/java/com/School/School_management/Controller/SchoolClassController.java,SchoolClassController,delete,DELETE,/api/classes/{id},CLASS_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,classes,delete
SMBackend/src/main/java/com/School/School_management/Controller/SchoolClassController.java,SchoolClassController,getById,GET,/api/classes/{id},CLASS_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,classes,view
SMBackend/src/main/java/com/School/School_management/Controller/SchoolClassController.java,SchoolClassController,update,PUT,/api/classes/{id},CLASS_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,classes,edit
SMBackend/src/main/java/com/School/School_management/Controller/SchoolSectionController.java,SchoolSectionController,delete,DELETE,/api/sections/{id},SECTION_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,section,delete
SMBackend/src/main/java/com/School/School_management/Controller/SchoolSectionController.java,SchoolSectionController,getById,GET,/api/sections/{id},SECTION_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,section,view
SMBackend/src/main/java/com/School/School_management/Controller/SchoolSectionController.java,SchoolSectionController,update,PUT,/api/sections/{id},SECTION_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,section,edit
SMBackend/src/main/java/com/School/School_management/Controller/SchoolSubscriptionController.java,SchoolSubscriptionController,delete,DELETE,/api/school-subscriptions/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,school-subscriptions,delete
SMBackend/src/main/java/com/School/School_management/Controller/SchoolSubscriptionController.java,SchoolSubscriptionController,update,PUT,/api/school-subscriptions/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,school-subscriptions,edit
SMBackend/src/main/java/com/School/School_management/Controller/SliderController.java,SliderController,delete,DELETE,/api/sliders/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,sliders,delete
SMBackend/src/main/java/com/School/School_management/Controller/SliderController.java,SliderController,update,PUT,/api/sliders/{id},SCHOOL_MANAGE|HEAD_OFFICE_SCHOOL_MANAGE|*,sliders,edit
SMBackend/src/main/java/com/School/School_management/Controller/StudentActivityController.java,StudentActivityController,delete,DELETE,/api/student-activities/{id},STUDENT_MANAGE|*,student-activity,delete
SMBackend/src/main/java/com/School/School_management/Controller/StudentController.java,StudentController,delete,DELETE,/api/students/{id},STUDENT_MANAGE|*,students,delete
SMBackend/src/main/java/com/School/School_management/Controller/StudentTypeController.java,StudentTypeController,delete,DELETE,/api/student-types/{id},STUDENT_TYPE_MANAGE|*,student-type,delete
SMBackend/src/main/java/com/School/School_management/Controller/StudyMaterialController.java,StudyMaterialController,create,POST,/api/study-materials/multipart/form-data,STUDY_MATERIAL_MANAGE|STUDY_MATERIAL_MANAGE_ASSIGNED|*|multipart/form-data,study-material,add
SMBackend/src/main/java/com/School/School_management/Controller/StudyMaterialController.java,StudyMaterialController,delete,DELETE,/api/study-materials/{id},STUDY_MATERIAL_MANAGE|STUDY_MATERIAL_MANAGE_ASSIGNED|*|/{id},study-material,delete
SMBackend/src/main/java/com/School/School_management/Controller/StudyMaterialController.java,StudyMaterialController,getAll,GET,/api/study-materials,STUDY_MATERIAL_MANAGE|STUDY_MATERIAL_VIEW_OWN|STUDY_MATERIAL_VIEW_CHILD|STUDY_MATERIAL_MANAGE_ASSIGNED|*,study-material,view
SMBackend/src/main/java/com/School/School_management/Controller/StudyMaterialController.java,StudyMaterialController,update,PUT,/api/study-materials/{id},STUDY_MATERIAL_MANAGE|STUDY_MATERIAL_MANAGE_ASSIGNED|*|/{id}|multipart/form-data,study-material,edit
SMBackend/src/main/java/com/School/School_management/Controller/SubjectController.java,SubjectController,createSubject,POST,/api/subjects,SUBJECT_MANAGE|SUBJECT_MANAGE_ASSIGNED|*,subject,add
SMBackend/src/main/java/com/School/School_management/Controller/SubjectController.java,SubjectController,deleteSubject,DELETE,/api/subjects/{id},SUBJECT_MANAGE|SUBJECT_MANAGE_ASSIGNED|*|/{id},subject,delete
SMBackend/src/main/java/com/School/School_management/Controller/SubjectController.java,SubjectController,getAllSubjects,GET,/api/subjects,SUBJECT_MANAGE|SUBJECT_MANAGE_ASSIGNED|SUBJECT_VIEW_ASSIGNED|SUBJECT_VIEW_OWN|SUBJECT_VIEW_CHILD|*,subject,view
